country_name,countryiso3code,date,value
South Africa,ZAF,2025-01-01,32.391
South Africa,ZAF,2024-01-01,32.279
South Africa,ZAF,2023-01-01,32.098
South Africa,ZAF,2022-01-01,33.268
South Africa,ZAF,2021-01-01,34.007
South Africa,ZAF,2020-01-01,29.217
South Africa,ZAF,2019-01-01,28.468
South Africa,ZAF,2018-01-01,26.906
South Africa,ZAF,2017-01-01,27.035
South Africa,ZAF,2016-01-01,26.536
South Africa,ZAF,2015-01-01,25.149
South Africa,ZAF,2014-01-01,24.89
South Africa,ZAF,2013-01-01,24.561
South Africa,ZAF,2012-01-01,24.727
South Africa,ZAF,2011-01-01,24.639
South Africa,ZAF,2010-01-01,24.683
South Africa,ZAF,2009-01-01,23.523
South Africa,ZAF,2008-01-01,22.407
South Africa,ZAF,2007-01-01,22.26
South Africa,ZAF,2006-01-01,22.304
South Africa,ZAF,2005-01-01,22.472
South Africa,ZAF,2004-01-01,22.567
South Africa,ZAF,2003-01-01,22.679
South Africa,ZAF,2002-01-01,22.579
South Africa,ZAF,2001-01-01,22.652
South Africa,ZAF,2000-01-01,22.788
South Africa,ZAF,1999-01-01,22.884
South Africa,ZAF,1998-01-01,22.739
South Africa,ZAF,1997-01-01,22.549
South Africa,ZAF,1996-01-01,22.5
South Africa,ZAF,1995-01-01,22.705
South Africa,ZAF,1994-01-01,23.067
South Africa,ZAF,1993-01-01,23.361
South Africa,ZAF,1992-01-01,23.463
South Africa,ZAF,1991-01-01,23.137
